LocationGeometryPLGId,LocationCode,LocationParentCode,LocationName,LocationType,CountryISO2Code,CountryISO3Code,Latitude_ymax,Longitude_xmax,Latitude_ymin,Longitude_xmin
F5AF1412-01F7-4180-AF1E-7347275F2E94,BRG1665,BR,Acre,Gaul1,BR,BRA,-7.116489228,-66.61747422,-11.14305,-73.98505
CA15A0BD-80FD-4A48-B995-63AABE569DD9,BRG1666,BR,Alagoas,Gaul1,BR,BRA,-8.813316345,-35.15098166,-10.5045356,-38.23744202
54C535AD-7526-4463-A9E1-9AF074CFAA72,BRG1667,BR,Amapa,Gaul1,BR,BRA,4.4425866,-49.870686,-1.235829711,-54.8757782
9B51449F-EC0D-406E-AB89-80C932FD6EA2,BRG1668,BR,Amazonas,Gaul1,BR,BRA,2.23351879,-56.09738541,-9.814097404,-73.79599
32A593FD-36D8-432E-A0C0-8D2A1A15C2F4,BRG1669,BR,Bahia,Gaul1,BR,BRA,-8.532272339,-37.3489175,-18.34865651,-46.62902832
C85BC6A5-8B47-4FAC-903B-531E9CA0A9C6,BRG1670,BR,Ceara,Gaul1,BR,BRA,-2.7849459,-37.25178957,-7.857644081,-41.43613815
BD2A6A1F-BF9E-4434-BB72-8F1B2255FB22,BRG1671,BR,Distrito Federal,Gaul1,BR,BRA,-15.49983597,-47.30705643,-16.05143928,-48.28666687
A9B8C046-9798-4BC3-A15A-C7F6F64D6803,BRG1672,BR,Espirito Santo,Gaul1,BR,BRA,-17.89116096,-39.66480637,-21.30147975,-41.87924957
8451555F-4F12-4908-A044-93D45D387C0B,BRG1673,BR,Goias,Gaul1,BR,BRA,-12.39544201,-45.90655518,-19.49882126,-53.25072098
0476F52C-AD81-4380-BE56-0071724CD844,BRG1674,BR,Maranhao,Gaul1,BR,BRA,-1.0472257,-41.79549789,-10.26013374,-48.75472259
15B49D95-0C71-4B81-A3ED-A29AA48EB1AE,BRG1675,BR,Mato Grosso,Gaul1,BR,BRA,-7.348716736,-50.22436142,-18.04176521,-61.63286209
23961401-95B4-425A-8025-042052CFAE93,BRG1676,BR,Mato Grosso Do Sul,Gaul1,BR,BRA,-17.16604233,-50.92335892,-24.06816597,-58.16346
29E01937-040F-4DE9-A44A-667FC6CE5893,BRG1677,BR,Minas Gerais,Gaul1,BR,BRA,-14.23401737,-39.85647201,-22.92237854,-51.04622269
11235D38-49B3-465C-8E34-BFE9F6F06A4F,BRG1678,BR,Para,Gaul1,BR,BRA,2.63248,-46.063509,-9.840836525,-58.89783478
F4A785BF-8E1D-4683-8F62-EC5D07956334,BRG1679,BR,Paraiba,Gaul1,BR,BRA,-6.027069092,-34.7930182,-8.303147316,-38.76486206
9175804A-F100-4044-AB61-F7D00FD6CB22,BRG1680,BR,Parana,Gaul1,BR,BRA,-22.51610374,-48.0263503,-26.71594429,-54.61602
D8A71A77-66AA-44CA-9C32-04A59ABC05AB,BRG1681,BR,Pernambuco,Gaul1,BR,BRA,-3.8048376,-32.3787342,-9.482366562,-41.35805511
34F82346-A560-4449-A29A-75F981E0570D,BRG1682,BR,Piaui,Gaul1,BR,BRA,-2.725662818,-40.37019348,-10.92855263,-45.99488831
C0AF0716-82CA-4EA4-8E87-A53225E00650,BRG1683,BR,Rio De Janeiro,Gaul1,BR,BRA,-20.76382828,-40.9566581,-23.3677436,-44.88852692
F437092D-BB65-4833-AAA9-12C44498EA4C,BRG1684,BR,Rio Grande Do Norte,Gaul1,BR,BRA,-4.831077544,-34.96859733,-6.982583523,-38.58174896
05DC56EF-D060-484D-A9A8-AD3E86B05F78,BRG1685,BR,Rio Grande Do Sul,Gaul1,BR,BRA,-27.08065414,-49.69116592,-33.7504003,-57.6189762
C24F5DFF-346F-4FF5-923B-39487F92626D,BRG1686,BR,Rondonia,Gaul1,BR,BRA,-7.968969345,-59.77383423,-13.71782395,-66.80571747
1F04B70D-8526-42AC-A85A-F0B93BE43EE9,BRG1687,BR,Roraima,Gaul1,BR,BRA,5.26488,-58.8918,-1.580279112,-64.80305
00A76548-1B6C-4F9A-A592-12C3162484F1,BRG1688,BR,Santa Catarina,Gaul1,BR,BRA,-25.95513725,-48.3579161,-29.3469162,-53.83754931
77CC13EC-DE97-49A8-A4A3-CC59C28139B2,BRG1689,BR,Sao Paulo,Gaul1,BR,BRA,-19.779562,-44.16055679,-25.3034832,-53.1096077
E2A3C061-49B6-4C5A-91A6-959D1CA9BCCD,BRG1690,BR,Sergipe,Gaul1,BR,BRA,-9.514719009,-36.39441455,-15.57685947,-38.95825577
A6AA1039-7FA8-430A-8592-F8E954882E92,BRG1691,BR,Tocantins,Gaul1,BR,BRA,-5.168047428,-45.69566727,-13.46738911,-50.74161148
B626D97A-EBCB-465F-8674-E25A643C2A5D,BRG1692,BR,Name Unknown,Gaul1,BR,BRA,-3.8638929,-33.8147572,-3.8674371,-33.8164816
40AC8322-14E2-4787-8879-98292BE52F30,BRG1693,BR,Name Unknown,Gaul1,BR,BRA,-20.4722267,-28.8477776,-20.4764212,-28.8541938
8B3BCA15-BCFE-45A2-B778-0EE96C4BB9B3,BRG1694,BR,Name Unknown,Gaul1,BR,BRA,-20.4866536,-29.299105,-20.528209,-29.3439684
5F117237-2324-4E09-B01C-F110FE1D7D27,BRG1695,BR,Name Unknown,Gaul1,BR,BRA,-24.1105434,-45.7048481,-24.1131134,-45.7071057
