"","LocationCode","year","negative","neutral","positive","sentiment","tweets"
"1","BRG1665",2019,397,3297,146,-0.0653645833333333,3840
"2","BRG1666",2019,490,4406,245,-0.0476560980354017,5141
"3","BRG1667",2019,205,2006,66,-0.0610452349582784,2277
"4","BRG1668",2019,1279,15388,697,-0.0335176226675881,17364
"5","BRG1669",2019,2413,24508,1326,-0.038481962686303,28247
"6","BRG1670",2019,1006,11648,710,-0.0221490571685124,13364
"7","BRG1671",2019,3057,25211,1081,-0.0673276772632798,29349
"8","BRG1672",2019,2345,16244,521,-0.095447409733124,19110
"9","BRG1673",2019,1944,17442,752,-0.0591915781110339,20138
"10","BRG1674",2019,2303,23007,1173,-0.0426688819242533,26483
"11","BRG1675",2019,504,4545,176,-0.0627751196172249,5225
"12","BRG1676",2019,1532,11346,489,-0.0780279793521359,13367
"13","BRG1677",2019,23239,209595,7742,-0.0644162343708433,240576
"14","BRG1678",2019,217,2015,110,-0.0456874466268147,2342
"15","BRG1679",2019,2389,21440,1139,-0.050064082024992,24968
"16","BRG1680",2019,4212,26827,1269,-0.0910919896000991,32308
"17","BRG1681",2019,925,10258,497,-0.0366438356164384,11680
"18","BRG1682",2019,22,192,9,-0.0582959641255605,223
"19","BRG1683",2019,158,786,21,-0.141968911917098,965
"20","BRG1685",2019,5326,36615,1626,-0.0849266646773934,43567
"21","BRG1686",2019,107,1590,23,-0.0488372093023256,1720
"22","BRG1687",2019,210,1933,70,-0.0632625395390872,2213
"23","BRG1688",2019,1791,12012,586,-0.083744527069289,14389
"24","BRG1689",2019,12221,106101,6266,-0.0477975406941278,124588
"25","BRG1690",2019,275,2918,137,-0.0414414414414414,3330
"26","BRG1691",2019,86,1025,51,-0.0301204819277108,1162
